Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,cluster,pet_max,pet_min,pet_mean,pet_std,dist_max,dist_std,dist_mean,dist_min,vel_max,vel_mean,vel_min,vel_std
2_9732_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927248954772948,0.0,2,9.88575067951022,7.72483510418992,8.368501314025332,0.6891914448239922,12.3124928509678,0.49942291550160944,11.407106127606534,10.865043567903301,1.47413108508432,1.3686259406087733,1.24547879570617,0.08700009503284674
2_9732_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23937265574932096,0.0,0.0,0.756646454334259,0.0,2,9.51128313667773,6.309353885487338,7.686531321664575,0.9817764183160053,14.4351548386932,1.9307360582076984,10.688523581429092,8.28641533802482,1.6385120991645,1.3848224084791851,1.2231678251253,0.11437030684159856
2_9757_6861,0.7180296182632446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764515578746796,0.0,1,9.57335970133676,7.03472037607917,7.686705683587062,0.7513523158883108,18.173028103409106,1.5913764380905009,14.76278152109966,13.2982585742676,2.0030043440278,1.9201588441265958,1.75320170158298,0.07856571967303325
2_9757_6891,0.5452572107315063,0.0,0.0,0.0,0.0,0.0,0.0,0.11893188953399657,0.0,0.0,0.33207955956459045,0.0,1,9.86296350854984,6.73760534583601,7.540663975607859,0.9142531823025044,19.6694987795802,2.6305893324622405,13.756699364564026,11.394319757535,2.0030043440278,1.8123127821547074,1.63907825436655,0.14101192187248937
2_9757_6932,0.14979200065135956,0.0,0.0,0.0,0.0,0.0,0.0,0.4570806622505188,0.0,0.0,0.3892346024513245,0.0,1,9.90690577212177,5.8665892221260405,7.48937589596066,1.3391944039011872,16.7317524903162,2.381073898711019,11.382249275083762,8.85563691940952,1.68889791375625,1.5207300327299231,1.23442471092522,0.15047959627105606
2_9826_6861,0.20432375371456146,0.0,0.0,0.0,0.3863632380962372,0.0,0.0,0.4055816531181336,0.0,0.0,0.0,0.0,1,9.56334015424347,1.82442761228532,5.25502255631802,2.5095108735374674,10.669953012761699,2.6528140267750455,5.223888034446181,1.80774430098389,1.11571405394665,0.9900938391292741,0.790401213210785,0.09722949990138909
2_9826_6891,0.08370374143123628,0.0,0.13975930213928225,0.0,0.0,0.0,0.0,0.4704203307628632,0.0,0.0,0.3031667768955231,0.0,1,9.922050242192462,3.21292207933502,6.004411812588698,2.208299391863599,11.220634443714001,2.3588939713999295,6.404343482779381,3.4310029343566,1.14578173204304,1.069182215278848,0.92620151387775,0.06719001412956703
2_9826_6932,0.0,0.0,0.5489296317100525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44633549451828,0.0,1,9.11165371653719,4.16418125689819,5.910242709029604,1.5153015314345886,10.2650399771943,1.6912996297848937,6.686369581550412,4.70918353571001,1.14578173204304,1.1321612982178755,1.11571405394665,0.0065550437786609725
2_9845_5554,0.0,0.0,0.3099258840084076,0.0,0.687995970249176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.2678280640649815,1.55518163708235,3.1801713401203315,1.1853313354715647,15.1395178859853,3.675666364058004,8.551106751296338,3.3461927511442595,3.83343355816455,2.656159754772815,2.15164111468162,0.6290981470965575
2_9845_5590,0.23963654041290286,0.0,0.0,0.0,0.0,0.0,0.0,0.7566761374473572,0.0,0.0,0.0,0.0,1,9.94141714935798,4.40209233272014,6.411501509540498,1.7945965196653317,21.7135622830789,3.70747202325238,14.417129100838938,10.3823795786295,2.3585101796840298,2.2629581935355016,2.18415161106896,0.05911868781947322
2_9845_7103,0.0,0.0,0.0,0.3088763356208801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889073252677917,1,9.44296580600151,5.4016490058857585,6.464598889986113,0.8574213467507938,27.0231811392087,4.311726853063194,18.241780149053664,13.104181666661699,3.83343355816455,2.838664194855074,2.15164111468162,0.6390939485826264
2_9845_7122,0.19739805161952967,0.0,0.05235434323549271,0.0,0.3709922134876251,0.0,0.0,0.0,0.0,0.0,0.20568539202213287,0.17270709574222565,1,9.58068131637685,2.05624331605978,5.9793948300052335,2.4381042834928213,32.1400965240382,8.373152546228559,15.590114745481001,4.28594874703569,3.83343355816455,2.4978968448349717,1.66608780483549,0.5885946500221081
1_9845_5248,0.0,0.0,0.0,0.0,0.0,0.9610125422477722,0.03713969141244888,0.0,0.0,0.0,0.0,0.0,1,9.97098620767473,0.466046493464242,4.167488739126588,2.757086151733227,26.4970237435017,6.692407103245953,10.752390208746062,1.78655826771074,3.83343355816455,2.848252885717943,2.15164111468162,0.5428513309787156
1_9855_5248,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.9845505356788636,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0,9.90719889986936,7.79594535750279,8.420837857476757,0.7722054928230923,7.12410446686885,0.27198851247327316,6.638509461222447,6.37346526565087,0.8402742759563041,0.7915623976834524,0.719083621805836,0.044417967236443756
2_1460_5274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981393814086914,0.0,2,9.96421771646491,7.11978206929408,8.165959984484823,0.7199625198168245,15.4956988783916,1.4368131571317946,11.80477425105205,10.1657366984768,1.6650285774536202,1.4501038402263937,1.07585070943278,0.16062287155388777
2_1460_5554,0.0,0.0,0.37585413455963135,0.0,0.0,0.15717855095863342,0.0,0.0,0.0,0.0,0.4649726748466492,0.0,1,9.764381556757302,0.488273107907469,5.262234521859889,2.9322068155678576,16.155077240691,4.5236422708286605,7.935800322291929,0.7545067201039721,1.7111098739604598,1.518016981581088,1.28946670644749,0.14110212394239807
2_1460_5590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952421784400941,0.0,2,9.69037461622446,5.9909535038271,7.3553602253723955,1.2035542991349162,16.53311799271,2.2944519920919975,11.748127228789699,9.53092496383698,1.70613816776793,1.590846870818253,1.52485519552924,0.06010057764230132
2_1460_7103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954394698143004,0.0,2,9.924292953420393,6.87553770912776,8.380530025880924,1.2624565241142518,16.3915794981855,1.6344363931770673,13.020998669579773,11.7518465091851,1.7111098739604598,1.5656892213388767,1.30383945005172,0.13412420093843216
2_1460_7122,0.0,0.0,0.5777234435081482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4202813506126404,0.0,1,9.74889216925756,2.39859418686143,5.461774714817958,2.2202608726294635,15.473736496491101,3.7139744185104986,8.744714443481307,3.9216521975467793,1.74286894449632,1.5980770203342651,1.31135892260418,0.10383377575367549
1_1460_5248,0.0,0.03537430986762047,0.0,0.12184130400419235,0.0,0.0,0.0,0.0,0.4420206248760224,0.3988182544708252,0.0,0.0,0,9.699179027035779,1.80551862630477,5.0592722275323165,2.5099457980848277,13.345804398704601,3.247107739299812,7.298670519351595,2.83021988676168,1.6650285774536202,1.482616322593863,1.28946670644749,0.10813750734145147
2_1554_5447,0.0,0.0,0.6211215853691101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765043020248413,0.0,1,9.72098140270455,1.83838508882374,5.177738825971095,2.560107869309227,13.6037748366589,3.2322172100653694,7.862597936801706,3.39140484975664,1.9185388108415704,1.6000060988182367,1.38750542638084,0.19912210009070286
1_1554_5639,0.05007382109761238,0.0,0.0,0.0,0.0,0.05006653442978859,0.1339593231678009,0.0,0.4058980345726013,0.2253628075122833,0.0,0.13364145159721375,0,9.800526102475313,5.08973487837204,7.341479662268804,1.315978357940115,17.2120128106191,2.079265751254703,12.352152176388683,10.279987461468199,2.1457250311217497,1.7180681563765925,1.21693152512156,0.3054536984934522
2_7343_6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931761622428894,0.0,2,9.72775078742725,6.93586999271616,8.019215188593659,0.938721800215958,10.6546661012235,1.4186836276200772,7.543425519750038,6.23975541772579,1.09528567641702,0.9375530762312545,0.775819205006064,0.10132791418058772
2_7343_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931761622428894,0.0,2,9.92887385113182,6.02525846218666,7.6403825613515695,1.3330402142992281,8.79411986809813,1.376550542965186,5.793183762832683,4.3283798314008095,0.8857117131260219,0.7531830615912463,0.676086621479044,0.06920550898398514
2_7343_6932,0.0,0.0,0.3063379824161529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6860400438308716,0.0,2,9.91895117028849,4.52687095292,6.658112321249091,1.7916205552037288,6.63501165090354,1.190560323156741,4.29040623071479,2.9164369847808,0.6689227053338299,0.6437977018271688,0.610034795478964,0.020403999680509603
2_7350_6861,0.7434492111206055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482999861240387,0.0,1,9.840506511620038,7.83355774934813,8.731785773343276,0.7087482897543584,19.9990105467277,0.8759869637628536,18.398620338323376,17.4079127590205,2.22222307105212,2.1124415116514625,2.02987896414625,0.074018122117771
2_7350_6891,0.22131377458572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731674313545227,0.0,2,9.7832509889965,7.240695140662599,8.013212574803497,0.7644400636250699,20.1788870003132,1.5000286574263564,16.865011484035517,15.516822189089599,2.2231462030701,2.108771076239003,1.83405328740931,0.11346624665411759
2_7350_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947916269302368,0.0,2,9.968836962524,8.75085737541674,9.100763116222984,0.38338689573526014,22.081863588970197,3.1086173059570426,15.897810551529238,12.844120776701901,2.21508924982752,1.7440569615249666,1.35151633762795,0.30812002978241165
2_7358_5165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954394698143004,0.0,2,9.82191457086562,5.37192846610471,6.999690334916592,1.4410801337105574,15.9265203481115,1.8933222752888665,11.499700325529602,9.551039974401641,1.8684129217701104,1.667014407153718,1.25911600929257,0.19444878698071366
2_7389_5447,0.0,0.0,0.487082839012146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509229838848114,0.0,2,9.64253365137837,4.44326646263062,6.0672094944272,1.484020279478106,13.148184571450699,1.5071985146279026,10.176915956914113,8.35485917045535,1.89055880342036,1.712418732392344,1.36356118078688,0.15365707417016866
1_7389_5325,0.0,0.1415109783411026,0.0,0.0,0.0,0.0,0.14301125705242154,0.0,0.711216390132904,0.0,0.0,0.0,0,9.820285671474801,6.1007758313429115,7.5220226789329745,1.2348998326226117,10.5891613928915,1.2679613076304772,7.8365297028183205,6.4163544477996695,1.09469655613146,1.042997947284952,0.94705263043331,0.03719138453879278
2_5878_5590,0.0,0.0,0.2999194264411926,0.0,0.26360422372817993,0.0,0.0,0.157722145318985,0.0,0.0,0.2766555845737457,0.0,1,8.48761573346783,1.78408323660848,5.181115493783465,2.363743710584695,12.0402110709516,3.0855748715315774,5.805440491683828,1.84592705405354,1.41856222631232,1.0971464634284764,0.901264616701895,0.1586641987154148
1_5878_5619,0.0,0.0,0.0,0.0,0.0,0.0,0.997258186340332,0.0,0.0,0.0,0.0,0.0,3,9.89478590452072,4.079904396386509,6.386832220552101,1.6535817808030262,16.9888494093581,3.938770970462482,8.83640919735959,4.5452868990522495,1.8361599060732496,1.3486884489833972,0.7723420779309191,0.34903267645483327
