,原名称,新名称,类型
0,宁波微行航空科技有限公司,宁波微行航空科技有限公司,名称正确
1,上海翔鸿无人飞行器导航控制技术有限公司,上海翔鸿无人飞行器导航控制技术有限公司,名称正确
2,深圳智航无人机有限公司,深圳智航无人机有限公司,名称正确
3,北京飞兽科技有限公司,北京飞兽科技有限公司,名称正确
4,广州亿航智能技术有限公司,广州亿航智能技术有限公司,名称正确
5,致导科技（北京）有限公司,致导科技（北京）有限公司,名称正确
6,北京臻迪智能科技有限公司,北京臻迪智能科技有限公司,历史名称
7,拓扑联创（北京）科技有限公司,拓扑联创（北京）科技有限公司,名称正确
8,西安韦德沃德航空科技有限公司,西安韦德沃德航空科技有限公司,名称正确
9,济南知芯集成电路技术有限公司,济南知芯集成电路技术有限公司,名称正确
10,零度智控（北京）智能科技有限公司,零度智控（北京）智能科技有限公司,名称正确
11,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,名称正确
12,广州极飞电子科技有限公司,广州极飞电子科技有限公司,名称正确
13,北京爱康宜诚医疗器材股份有限公司,北京爱康宜诚医疗器材股份有限公司,历史名称
14,四川蓝光英诺生物科技股份有限公司(简称蓝光英诺),,名称未找到
15,青岛尤尼科技有限公司,青岛尤尼科技有限公司,名称正确
16,优联三维打印科技发展（上海）有限公司,优联三维打印科技发展（上海）有限公司,名称正确
17,南京徇齐生物技术有限公司,南京徇齐生物技术有限公司,名称正确
18,长春力太生物技术有限公司,长春力太生物技术有限公司,名称正确
19,苏州同善生物科技有限公司,苏州同善生物科技有限公司,名称正确
20,深圳市科晖瑞生物医药有限公司?,,名称未找到
21,上海云舜生物技术有限公司,上海云舜生物技术有限公司,名称正确
22,深圳市经伟度科技有限公司,深圳市经伟度科技有限公司,名称正确
23,上海大相科技有限公司,上海大相科技有限公司,名称正确
24,深圳市眼界科技有限公司,深圳市眼界科技有限公司,名称正确
25,北京蚁视科技有限公司,北京蚁视科技有限公司,名称正确
26,完美幻境科技有限公司,完美幻境（北京）科技有限公司,名称需修改
27,北京第二空间科技有限公司,第二空间（北京）科技有限公司,名称需修改
28,北京七鑫易维信息技术有限公司,北京七鑫易维信息技术有限公司,名称正确
29,天津极睿软件技术开发有限公司,天津极睿软件技术开发有限公司,名称正确
30,北京诺亦腾科技有限公司,北京诺亦腾科技有限公司,名称正确
31,广东虚拟现实科技有限公司,广东虚拟现实科技有限公司,名称正确
32,天津锋时互动科技有限公司,天津锋时互动科技有限公司,名称正确
33,北京昊威创视科技有限公司,北京昊威创视科技有限公司,名称正确
34,北京求之易数据有限公司,北京求之易数据有限公司,名称正确
35,青岛国奥源生物工程技术有限公司,青岛国奥源生物工程技术有限公司,历史名称
36,百泰生物药业有限公司,百泰生物药业有限公司,名称正确
37,北京天广实生物技术股份有限公司,北京天广实生物技术股份有限公司,名称正确
38,上海张江生物技术有限公司,上海张江生物技术有限公司,名称正确
39,大连亚维药业有限公司,大连亚维药业有限公司,名称正确
40,江苏太平洋美诺克生物药业有限公司,江苏太平洋美诺克生物药业有限公司,名称正确
41,神州细胞工程有限公司,神州细胞工程有限公司,名称正确
42,齐鲁制药有限公司,齐鲁制药有限公司,名称正确
43,百奥迈科生物技术有限公司,百奥迈科生物技术有限公司,名称正确
44,武汉友芝友生物制药有限公司,武汉友芝友生物制药有限公司,名称正确
45,无锡天演生物技术有限公司,无锡天演生物技术有限公司,名称正确
46,北京虹安翔宇信息科技有限公司,北京虹安翔宇信息科技有限公司,名称正确
47,北京释码大华科技有限公司,北京释码大华科技有限公司,名称正确
48,北京天诚盛业科技有限公司,北京天诚盛业科技有限公司,名称正确
49,西安凯虹电子科技有限公司,西安凯虹电子科技有限公司,名称正确
