1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_7,1_2_2_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_2_6,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_1_5,1_2_1_5,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,1_2_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_8,1_2_2_8,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_9,1_2_2_9,1_2_2_9,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_1_10,1_2_1_10,1_2_1_9,1_2_1_9,1_2_1_8,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_5,1_2_1_5,1_2_1_5,1_2_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_10,1_2_2_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_9,1_2_1_9,1_2_1_9,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_7,1_2_1_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_7,1_2_2_7,1_2_2_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_8,1_2_2_8,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_5,1_2_1_5,1_2_1_5,1_2_1_5,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_4,1_2_1_3,1_2_1_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_3,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_5,1_2_2_5,1_2_2_5,1_2_1_5,1_2_1_5,1_2_1_5,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_6,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_8,1_3_1_8,1_3_1_8,1_3_1_8,1_3_1_9,1_3_1_9,1_3_1_9,1_3_1_9,1_3_1_10,1_3_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_9,1_2_2_9,1_2_1_9,1_2_1_9,1_2_1_9,1_2_1_9,1_2_1_9,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_8,1_2_1_9,1_2_1_9,1_2_1_9,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,1_2_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_1_8,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_7,1_2_1_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,1_2_2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_4,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_5,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_6,1_2_2_7,1_2_2_7,1_2_2_7,1_2_2_8,1_2_2_8,1_2_2_8,1_2_2_9,1_2_2_9,1_2_2_9,1_2_2_10,1_2_2_10,1_2_2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
