Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_9732_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927248954772949,0.0,0.0
2_9732_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7566162347793579,0.23940284550189972,0.0
2_9757_6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2761540710926056,0.7183271646499634,0.0
2_9757_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316633701324463,0.6641907095909119,0.0
2_9757_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38885417580604553,0.45759114623069763,0.14966194331645966
2_9826_6861,0.0,0.0,0.09913403540849686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2993538975715637,0.5977807641029358
2_9826_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2224532663822174,0.0,0.22046642005443573,0.151613250374794,0.4025172293186188
2_9826_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619814872741699,0.0,0.23328369855880737,0.0,0.0
2_9845_5554,0.0,0.0,0.25897422432899475,0.0,0.0,0.0,0.0,0.3119150996208191,0.0,0.0,0.0,0.42724037170410156
2_9845_5590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4357730746269226,0.5605396032333374
2_9845_7103,0.0,0.0,0.0,0.0,0.0,0.0,0.997562050819397,0.0,0.0,0.0,0.0,0.0
2_9845_7122,0.0,0.0,0.0,0.0,0.0,0.0,0.17270170152187347,0.05472492799162865,0.0,0.20417863130569458,0.20130805671215057,0.3662238121032715
1_9845_5248,0.0,0.9979674816131592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_9855_5248,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.9845505356788635,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606
2_1460_5274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981393814086914,0.0,0.0
2_1460_5554,0.386598140001297,0.0,0.0,0.0,0.0,0.0,0.0,0.20564322173595428,0.0,0.40576398372650146,0.0,0.0
2_1460_5590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995242178440094,0.0,0.0
2_1460_7103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954394698143005,0.0,0.0
2_1460_7122,0.2950761914253235,0.0,0.0,0.0,0.0,0.0,0.0,0.34752553701400757,0.0,0.35560259222984314,0.0,0.0
1_1460_5248,0.0,0.0,0.0,0.44299960136413574,0.5545685291290283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_1554_5447,0.42689746618270874,0.0,0.0,0.0,0.0,0.0,0.0,0.22518576681613922,0.0,0.34577998518943787,0.0,0.0
1_1554_5639,0.1831149011850357,0.05006653070449829,0.0,0.0,0.41575005650520325,0.0,0.0,0.0,0.34973782300949097,0.0,0.0,0.0
2_7343_6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931761622428894,0.0,0.0
2_7343_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931761622428894,0.0,0.0
2_7343_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601931214332581,0.0,0.4321849048137665,0.0,0.0
2_7350_6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24799509346485138,0.7437540888786316,0.0
2_7350_6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730922698974609,0.22138898074626923,0.0
2_7350_6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947916269302368,0.0,0.0
2_7358_5165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43248704075813293,0.0,0.5633670091629028,0.0,0.0
2_7389_5447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7304160594940186,0.0,0.26589664816856384,0.0,0.0
1_7389_5325,0.0,0.0,0.0,0.0,0.8524318337440491,0.0,0.0,0.0,0.14283336699008942,0.0,0.0,0.0
2_5878_5590,0.03339054062962532,0.0,0.11538052558898926,0.0,0.0,0.0,0.0,0.32523906230926514,0.0,0.21923187375068665,0.08903846889734268,0.2161455899477005
1_5878_5619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997258186340332,0.0,0.0,0.0
1_5878_5639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996867835521698,0.0,0.0,0.0
1_5901_5619,0.0,0.03931925445795059,0.0,0.0,0.19846856594085693,0.0,0.0,0.0,0.76045161485672,0.0,0.0,0.0
1_5901_5639,0.0,0.0,0.0,0.3841814398765564,0.3540968596935272,0.0,0.0,0.0,0.25992605090141296,0.0,0.0,0.0
1_5920_5619,0.0,0.0,0.0,0.0,0.3233059346675873,0.0,0.0,0.0,0.674000084400177,0.0,0.0,0.0
1_5920_5639,0.0,0.0,0.0,0.0,0.6104403734207153,0.0,0.0,0.0,0.3863462507724762,0.0,0.0,0.0
1_5952_5325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945327639579773,0.0,0.0,0.0
2_6048_7267,0.23486754298210144,0.0,0.0,0.0,0.0,0.0,0.0,0.30963006615638733,0.0,0.453415185213089,0.0,0.0
2_6048_7313,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.0014044942799955606,0.9845505356788635,0.0014044942799955606,0.0014044942799955606
1_6048_7290,0.09321029484272003,0.0,0.0,0.8043432235717773,0.0,0.0,0.0,0.0,0.10168451070785522,0.0,0.0,0.0
2_6061_7267,0.0,0.0,0.1953236609697342,0.0,0.0,0.0,0.0,0.15756581723690033,0.0,0.183900848031044,0.0,0.46111106872558594
1_6061_7290,0.0,0.0,0.0,0.718704104423523,0.039041534066200256,0.0,0.0,0.0,0.24141421914100647,0.0,0.0,0.0
2_6079_7313,0.34126514196395874,0.0,0.027327122166752815,0.0,0.0,0.0,0.0,0.0,0.0,0.25248998403549194,0.10831385850906372,0.2689419984817505
2_6094_7313,0.0,0.0,0.1285649538040161,0.0,0.0,0.0,0.0,0.0,0.0,0.3901667594909668,0.15728533267974854,0.3222483694553375
2_6109_7313,0.0,0.0,0.19980596005916595,0.0,0.0,0.0,0.0,0.2654854655265808,0.0,0.30510586500167847,0.04073728248476982,0.18744032084941864
1_6183_7420,0.0,0.0,0.0,0.0,0.9977140426635742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6312_6167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922096729278564,0.0,0.0
2_6341_7562,0.5152431726455688,0.0,0.0,0.0,0.0,0.0,0.0,0.3396640121936798,0.0,0.14322252571582794,0.0,0.0
2_6341_7590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4055803716182709,0.0,0.21329687535762787,0.3795742690563202,0.0
2_6341_7609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920938730239868,0.7042188048362732,0.0
2_6341_7624,0.044289931654930115,0.0,0.07863857597112656,0.0,0.0,0.0,0.0,0.17157310247421265,0.0,0.17051050066947937,0.1268233209848404,0.40623652935028076
2_6355_7562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9149377346038818,0.0,0.08274320513010025,0.0,0.0
2_6355_7590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2351076751947403,0.0,0.7626760005950928,0.0,0.0
2_6355_7609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960881471633911,0.0,0.0
2_6355_7624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833101987838745,0.0,0.6128612756729126,0.0,0.0
2_6370_7562,0.4724118709564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0719648003578186,0.0,0.03802258148789406,0.0,0.41593825817108154
2_6370_7590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19968385994434357,0.0,0.7980998754501343,0.0,0.0
